Id,IsEquippable,IsRarityDepend,IsTradable,IsUpgradable,IsUsable,Name,RequiredLevel,UpgradeLevel,Value,EquippableBy,DefenseValue,IsRarityDepend,IsStackable
21000,1,1,1,1,0,Scratched Robe,0,0,10,2,10,1,0
21001,1,1,1,1,0,Scratched Robe +1,0,1,50,2,16,1,0
21002,1,1,1,1,0,Scratched Robe +2,0,2,100,2,22,1,0
21003,1,1,1,1,0,Scratched Robe +3,0,3,150,2,28,1,0
21004,1,1,1,1,0,Scratched Robe +4,0,4,200,2,34,1,0
21005,1,1,1,1,0,Scratched Robe +5,0,5,250,2,40,1,0
21006,1,1,1,1,0,Scratched Robe +6,0,6,300,2,46,1,0
21007,1,1,1,1,0,Scratched Robe +7,0,7,350,2,52,1,0
21008,1,1,1,1,0,Scratched Robe +8,0,5,400,2,58,1,0
21009,1,1,1,1,0,Scratched Robe +9,0,9,450,2,64,1,0
