Id,Name,Value,IsUsable,IsEquippable,IsTradable,IsUpgradable,UpgradeLevel,RequiredLevel,MinAttackValue,MaxAttackValue,EquippableBy,IsRarityDepend,IsStackable
5000,Wooden Bow,10,0,1,1,1,0,0,10,13,1,1,0
5001,Wooden Bow +1,50,0,1,1,1,1,0,14,17,1,1,0
5002,Wooden Bow +2,100,0,1,1,1,2,0,18,21,1,1,0
5003,Wooden Bow +3,150,0,1,1,1,3,0,22,25,1,1,0
5004,Wooden Bow +4,200,0,1,1,1,4,0,26,29,1,1,0
5005,Wooden Bow +5,250,0,1,1,1,5,0,30,33,1,1,0
5006,Wooden Bow +6,300,0,1,1,1,6,0,34,37,1,1,0
5007,Wooden Bow +7,350,0,1,1,1,7,0,38,41,1,1,0
5008,Wooden Bow +8,400,0,1,1,1,8,0,42,45,1,1,0
5009,Wooden Bow +9,450,0,1,1,1,9,0,46,49,1,1,0
5010,Long Bow,20,0,1,1,1,0,5,18,21,1,1,0
5011,Long Bow +1,75,0,1,1,1,1,5,22,25,1,1,0
5012,Long Bow +2,150,0,1,1,1,2,5,26,29,1,1,0
5013,Long Bow +3,225,0,1,1,1,3,5,30,33,1,1,0
5014,Long Bow +4,300,0,1,1,1,4,5,34,37,1,1,0
5015,Long Bow +5,375,0,1,1,1,5,5,38,41,1,1,0
5016,Long Bow +6,450,0,1,1,1,6,5,42,45,1,1,0
5017,Long Bow +7,525,0,1,1,1,7,5,46,49,1,1,0
5018,Long Bow +8,600,0,1,1,1,8,5,50,53,1,1,0
5019,Long Bow +9,675,0,1,1,1,9,5,54,57,1,1,0
