Id,Name,Value,IsUsable,IsEquippable,IsTradable,IsUpgradable,UpgradeLevel,RequiredLevel,MinAttackValue,MaxAttackValue,EquippableBy,IsRarityDepend,IsStackable
9000,Wooden Staff,10,0,1,1,1,0,0,10,13,2,1,0
9001,Wooden Staff +1,50,0,1,1,1,1,0,14,17,2,1,0
9002,Wooden Staff +2,100,0,1,1,1,2,0,18,21,2,1,0
9003,Wooden Staff +3,150,0,1,1,1,3,0,22,25,2,1,0
9004,Wooden Staff +4,200,0,1,1,1,4,0,26,29,2,1,0
9005,Wooden Staff +5,250,0,1,1,1,5,0,30,33,2,1,0
9006,Wooden Staff +6,300,0,1,1,1,6,0,34,37,2,1,0
9007,Wooden Staff +7,350,0,1,1,1,7,0,38,41,2,1,0
9008,Wooden Staff +8,400,0,1,1,1,8,0,42,45,2,1,0
9009,Wooden Staff +9,450,0,1,1,1,9,0,46,49,2,1,0
9010,Long Staff,20,0,1,1,1,0,5,18,21,2,1,0
9011,Long Staff +1,75,0,1,1,1,1,5,22,25,2,1,0
9012,Long Staff +2,150,0,1,1,1,2,5,26,29,2,1,0
9013,Long Staff +3,225,0,1,1,1,3,5,30,33,2,1,0
9014,Long Staff +4,300,0,1,1,1,4,5,34,37,2,1,0
9015,Long Staff +5,375,0,1,1,1,5,5,38,41,2,1,0
9016,Long Staff +6,450,0,1,1,1,6,5,42,45,2,1,0
9017,Long Staff +7,525,0,1,1,1,7,5,46,49,2,1,0
9018,Long Staff +8,600,0,1,1,1,8,5,50,53,2,1,0
9019,Long Staff +9,675,0,1,1,1,9,5,54,57,2,1,0
